doc_id,D,sex,Points,Career Points
1,1,male,26395,26395
2,2,male,11995,11995
4,4,female,4004,4004
3,3,male,10689,10689
7,7,female,3001,3001
5,5,male,3940,3940
9,9,female,2353,2353
6,6,male,3251,3251
10,10,female,2247,2247
8,8,male,2800,2800
11,11,female,1918,1918
13,13,female,1408,1408
12,12,male,1506,1506
19,19,female,794,794
14,14,male,1123,1123
15,15,male,1109,1109
16,16,male,1057,1057
24,24,female,424,424
17,17,male,987,987
25,25,female,346,346
18,18,male,910,910
26,26,female,309,309
27,27,female,304,304
20,20,male,625,625
28,28,female,247,247
21,21,male,522,522
29,29,female,217,217
22,22,male,488,488
30,30,female,163,163
23,23,male,482,482
34,34,female,107,107
31,31,male,152,152
32,32,male,128,128
35,35,female,100,100
33,33,male,117,117
36,36,female,99,99
37,37,female,98,98
38,38,female,88,88
39,39,female,82,82
40,40,female,79,79
41,41,male,45,45
42,42,male,40,40
43,43,female,25,25
44,44,male,25,25
45,45,female,22,22
46,46,female,21,21
47,47,female,10,10
48,48,male,7,7
49,49,male,3,3
50,50,male,2,2
